A2;A3;N3;CAPTION
NP;NPL;524;НЕПАЛ
NE;NER;562;НИГЕР
NG;NGA;566;НИГЕРИЯ
AN;ANT;530;НИДЕРЛАНДСКИЕ АНТИЛЫ
NL;NLD;528;НИДЕРЛАНДЫ
NI;NIC;558;НИКАРАГУА
NU;NIU;570;НИУЭ
NZ;NZL;554;НОВАЯ ЗЕЛАНДИЯ
NC;NCL;540;НОВАЯ КАЛЕДОНИЯ
NO;NOR;578;НОРВЕГИЯ
AE;ARE;784;ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ
OM;OMN;512;ОМАН
BV;BVT;74;ОСТРОВ БУВЕ
IM;IMN;833;ОСТРОВ МЭН
NF;NFK;574;ОСТРОВ НОРФОЛК
CX;CXR;162;ОСТРОВ РОЖДЕСТВА
HM;HMD;334;ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД
KY;CYM;136;ОСТРОВА КАЙМАН
CK;COK;184;ОСТРОВА КУКА
TC;TCA;796;ОСТРОВА ТЕРКС И КАЙКОС
PK;PAK;586;ПАКИСТАН
PW;PLW;585;ПАЛАУ
PS;PSE;275;ПАЛЕСТИНСКАЯ ТЕРРИТОРИЯ, ОККУПИРОВАННАЯ
PA;PAN;591;ПАНАМА
VA;VAT;336;ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО - ГОРОД ВАТИКАН)
PG;PNG;598;ПАПУА-НОВАЯ ГВИНЕЯ
PY;PRY;600;ПАРАГВАЙ
PE;PER;604;ПЕРУ
PN;PCN;612;ПИТКЕРН
PL;POL;616;ПОЛЬША
PT;PRT;620;ПОРТУГАЛИЯ
PR;PRI;630;ПУЭРТО-РИКО
MK;MKD;807;РЕСПУБЛИКА МАКЕДОНИЯ[3]
RE;REU;638;РЕЮНЬОН
RW;RWA;646;РУАНДА
RO;ROU;642;РУМЫНИЯ
WS;WSM;882;САМОА
SM;SMR;674;САН-МАРИНО
ST;STP;678;САН-ТОМЕ И ПРИНСИПИ
SA;SAU;682;САУДОВСКАЯ АРАВИЯ
SZ;SWZ;748;СВАЗИЛЕНД
SH;SHN;654;СВЯТАЯ ЕЛЕНА
MP;MNP;580;СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА
SC;SYC;690;СЕЙШЕЛЫ
BL;BLM;652;СЕН-БАРТЕЛЕМИ
MF;MAF;663;СЕН-МАРТЕН
SN;SEN;686;СЕНЕГАЛ
VC;VCT;670;СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ
KN;KNA;659;СЕНТ-КИТС И НЕВИС
LC;LCA;662;СЕНТ-ЛЮСИЯ
PM;SPM;666;СЕНТ-ПЬЕР И МИКЕЛОН
RS;SRB;688;СЕРБИЯ
SG;SGP;702;СИНГАПУР
SY;SYR;760;СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА
SK;SVK;703;СЛОВАКИЯ
SI;SVN;705;СЛОВЕНИЯ
GB;GBR;826;СОЕДИНЕННОЕ КОРОЛЕВСТВО
US;USA;840;СОЕДИНЕННЫЕ ШТАТЫ
SB;SLB;90;СОЛОМОНОВЫ ОСТРОВА
SO;SOM;706;СОМАЛИ
SD;SDN;736;СУДАН
SR;SUR;740;СУРИНАМ
SL;SLE;694;СЬЕРРА-ЛЕОНЕ
TJ;TJK;762;ТАДЖИКИСТАН
TH;THA;764;ТАИЛАНД
TW;TWN;158;ТАЙВАНЬ (КИТАЙ)
TZ;TZA;834;ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА
TL;TLS;626;ТИМОР-ЛЕСТЕ
TG;TGO;768;ТОГО
TK;TKL;772;ТОКЕЛАУ
TO;TON;776;ТОНГА
TT;TTO;780;ТРИНИДАД И ТОБАГО
TV;TUV;798;ТУВАЛУ
TN;TUN;788;ТУНИС
TM;TKM;795;ТУРКМЕНИЯ
TR;TUR;792;ТУРЦИЯ
UG;UGA;800;УГАНДА
UZ;UZB;860;УЗБЕКИСТАН
UA;UKR;804;УКРАИНА
WF;WLF;876;УОЛЛИС И ФУТУНА
UY;URY;858;УРУГВАЙ
FO;FRO;234;ФАРЕРСКИЕ ОСТРОВА
FJ;FJI;242;ФИДЖИ
PH;PHL;608;ФИЛИППИНЫ
FI;FIN;246;ФИНЛЯНДИЯ
FK;FLK;238;ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ)
FR;FRA;250;ФРАНЦИЯ
GF;GUF;254;ФРАНЦУЗСКАЯ ГВИАНА
PF;PYF;258;ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ
TF;ATF;260;ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ
HR;HRV;191;ХОРВАТИЯ
CF;CAF;140;ЦЕНТРАЛЬНО-АФРИКАНСКАЯ РЕСПУБЛИКА
TD;TCD;148;ЧАД
ME;MNE;499;ЧЕРНОГОРИЯ
CZ;CZE;203;ЧЕШСКАЯ РЕСПУБЛИКА
CL;CHL;152;ЧИЛИ
CH;CHE;756;ШВЕЙЦАРИЯ
SE;SWE;752;ШВЕЦИЯ
SJ;SJM;744;ШПИЦБЕРГЕН И ЯН МАЙЕН
LK;LKA;144;ШРИ-ЛАНКА
EC;ECU;218;ЭКВАДОР
GQ;GNQ;226;ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ
AX;ALA;248;ЭЛАНДСКИЕ ОСТРОВА
SV;SLV;222;ЭЛЬ-САЛЬВАДОР
ER;ERI;232;ЭРИТРЕЯ
EE;EST;233;ЭСТОНИЯ
ET;ETH;231;ЭФИОПИЯ
ZA;ZAF;710;ЮЖНАЯ АФРИКА
GS;SGS;239;ЮЖНАЯ ДЖОРДЖИЯ И ЮЖНЫЕ САНДВИЧЕВЫ ОСТРОВА
OS;OST;896;ЮЖНАЯ ОСЕТИЯ
JM;JAM;388;ЯМАЙКА
JP;JPN;392;ЯПОНИЯ
